00:59:31 | REQUEST  |    396ms | GET /admin/users -> 200
00:59:38 | DB_CALL  |    684ms | rows=1
00:59:38 | REQUEST  |    696ms | GET /admin/events -> 200
01:02:01 | DB_CALL  |    961ms | rows=1
01:02:02 | DB_CALL  |    473ms | rows=1
01:02:02 | REQUEST  |    505ms | GET /admin/events -> 200
01:04:34 | DB_CALL  |   1719ms | rows=1
01:04:34 | REQUEST  |   1782ms | GET /admin/events -> 200
01:05:36 | DB_CALL  |    833ms | rows=0
01:05:37 | DB_CALL  |    537ms | rows=1
01:05:37 | REQUEST  |   1380ms | POST /admin/events/c2df74ea-3e3c-40e0-b418-c6b5cd3d05cc/edit -> 303
01:05:37 | DB_CALL  |    496ms | rows=1
01:05:37 | REQUEST  |    497ms | GET /admin/events -> 200
01:05:49 | DB_CALL  |    745ms | rows=1
01:05:49 | REQUEST  |    747ms | POST /admin/events/create -> 303
01:05:49 | DB_CALL  |    466ms | rows=2
01:05:49 | REQUEST  |    467ms | GET /admin/events -> 200
01:05:54 | DB_CALL  |    496ms | rows=1
01:05:54 | REQUEST  |    497ms | POST /admin/events/d809dacb-6684-4a7b-af81-74d7353cdb0e/delete -> 303
01:05:54 | DB_CALL  |    444ms | rows=1
01:05:54 | REQUEST  |    446ms | GET /admin/events -> 200
01:09:42 | DB_CALL  |    791ms | rows=0
01:09:43 | DB_CALL  |    516ms | rows=1
01:09:43 | REQUEST  |   1330ms | POST /admin/events/c2df74ea-3e3c-40e0-b418-c6b5cd3d05cc/edit -> 303
01:09:43 | DB_CALL  |    502ms | rows=1
01:09:43 | REQUEST  |    506ms | GET /admin/events -> 200
01:09:52 | DB_CALL  |    730ms | rows=0
01:09:53 | DB_CALL  |   1451ms | rows=5
01:09:53 | REQUEST  |   1483ms | GET /admin/dashboard -> 200
01:10:19 | DB_CALL  |    715ms | rows=5
01:10:19 | REQUEST  |    753ms | GET /admin/users -> 200
01:10:25 | DB_CALL  |    776ms | rows=1
01:10:25 | REQUEST  |    777ms | GET /admin/events -> 200
01:13:27 | REQUEST  |     67ms | GET /auth/logout -> 307
01:13:27 | REQUEST  |    125ms | GET / -> 200
12:08:40 | DB_CALL  |   2310ms | rows=1
12:08:42 | REQUEST  |     16ms | GET / -> 200
12:08:42 | REQUEST  |      1ms | GET /favicon.ico -> 404
12:08:43 | AUTH     |      0ms | sign_in_with_oauth
12:08:43 | REQUEST  |      3ms | GET /auth/github -> 307
12:08:48 | AUTH     |    523ms | exchange_code_for_session
12:08:49 | DB_CALL  |    683ms | rows=1
12:08:49 | REQUEST  |   1212ms | GET /auth/callback -> 307
12:08:50 | DB_CALL  |   1074ms | rows=5
12:08:50 | DB_CALL  |   1074ms | rows=0
12:08:50 | REQUEST  |   1093ms | GET /admin/dashboard -> 200
12:08:50 | DB_CALL  |   1191ms | rows=1
10:55:06 | DB_CALL  |   1714ms | rows=1
10:55:06 | REQUEST  |     15ms | GET / -> 200
10:55:06 | REQUEST  |      2ms | GET /favicon.ico -> 404
10:55:08 | AUTH     |      0ms | sign_in_with_oauth
10:55:08 | REQUEST  |      3ms | GET /auth/github -> 307
10:55:12 | AUTH     |   1122ms | exchange_code_for_session
10:55:13 | DB_CALL  |    415ms | rows=1
10:55:13 | REQUEST  |   1543ms | GET /auth/callback -> 307
10:55:13 | DB_CALL  |    297ms | rows=5
10:55:13 | DB_CALL  |    513ms | rows=1
10:55:13 | DB_CALL  |    502ms | rows=0
10:55:13 | REQUEST  |    514ms | GET /admin/dashboard -> 200
10:55:18 | DB_CALL  |    308ms | rows=5
10:55:18 | REQUEST  |    320ms | GET /admin/users -> 200
10:55:31 | DB_CALL  |   2255ms | rows=1
10:55:31 | REQUEST  |   2268ms | GET /admin/events -> 200
10:55:44 | REQUEST  |      6ms | GET /admin/verify -> 200
10:55:47 | DB_CALL  |    643ms | rows=0
10:55:47 | DB_CALL  |    653ms | rows=5
10:55:47 | REQUEST  |    655ms | GET /admin/dashboard -> 200
10:55:58 | REQUEST  |      1ms | GET /auth/logout -> 307
10:55:58 | REQUEST  |      1ms | GET / -> 200
10:58:54 | REQUEST  |      5ms | GET / -> 200
10:58:54 | REQUEST  |      1ms | GET /favicon.ico -> 404
10:58:56 | AUTH     |      2ms | sign_in_with_oauth
10:58:56 | REQUEST  |      4ms | GET /auth/github -> 307
10:59:00 | AUTH     |    547ms | exchange_code_for_session
10:59:00 | DB_CALL  |    391ms | rows=1
10:59:00 | REQUEST  |    944ms | GET /auth/callback -> 307
10:59:00 | REQUEST  |     69ms | GET /user/registration-success -> 200
10:59:00 | DB_CALL  |    211ms | rows=1
10:59:11 | REQUEST  |      1ms | GET /auth/logout -> 307
10:59:11 | REQUEST  |      1ms | GET / -> 200
